flash,ram,text,code,rodata,data,bss,dec,hex,filename
2500,4,2500,1464,1036,0,4,2504,`9c8,armino/cmsis/libcmsis.a
3807,56,3771,3532,239,36,20,3827,`ef3,armino/iperf/libiperf.a
80982,4951,80494,72978,7516,488,4463,85445,`14dc5,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5461,2912,5453,4264,1189,8,2904,8365,`20ad,armino/bk_wifi_driver/libbk_wifi_driver.a
11680,100,11680,7216,4464,0,100,11780,`2e04,armino/bk_wifi/libbk_wifi.a
3696,0,3696,3696,0,0,0,3696,`e70,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
53140,1000,52452,23900,28552,688,312,53452,`d0cc,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
15006,364,15006,2766,12240,0,364,15370,`3c0a,armino/cm33/libcm33.a
92173,6811,91417,75778,15639,756,6055,98228,`17fb4,armino/driver/libdriver.a
1333,76,1332,1230,102,1,75,1408,`580,armino/bk_system/libbk_system.a
473,4,473,336,137,0,4,477,`1dd,armino/bk_init/libbk_init.a
16307,3546,15998,12852,3146,309,3237,19544,`4c58,armino/bk_cli/libbk_cli.a
26216,3173,25371,19842,5529,845,2328,28544,`6f80,armino/tuyaos_adapter/libtuyaos_adapter.a
3621,90,3536,3258,278,85,5,3626,`e2a,armino/bk7258_ap/libbk7258_ap.a
17679,232,17615,15578,2037,64,168,17847,`45b7,armino/common/libcommon.a
251,32,251,246,5,0,32,283,`11b,armino/bk_startup/libbk_startup.a
2428,17,2428,1950,478,0,17,2445,`98d,armino/bk_event/libbk_event.a
3293,73,3292,2788,504,1,72,3365,`d25,armino/bk_aud_param_ctrl/libbk_aud_param_ctrl.a
3013,16,3013,2466,547,0,16,3029,`bd5,armino/aec_v3_algorithm/libaec_v3_algorithm.a
4142,52,4142,2980,1162,0,52,4194,`1062,armino/onboard_speaker_stream/libonboard_speaker_stream.a
3200,48,3200,2018,1182,0,48,3248,`cb0,armino/onboard_mic_stream/libonboard_mic_stream.a
3608,56,3608,2556,1052,0,56,3664,`e50,armino/onboard_dual_dmic_mic_stream/libonboard_dual_dmic_mic_stream.a
1590,797,826,826,0,764,33,1623,`657,armino/bk_pm/libbk_pm.a
14744,100,14744,8672,6072,0,100,14844,`39fc,armino/bk_voice_service/libbk_voice_service.a
610,0,610,272,338,0,0,610,`262,armino/ap/libap.a
101298,0,101298,37746,63552,0,0,101298,`18bb2,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaec_v3.a
6358,13,6358,5082,1276,0,13,6371,`18e3,armino/bk_rtos/libbk_rtos.a
1414,160,1278,932,346,136,24,1438,`59e,armino/media_service/libmedia_service.a
19330,997,19329,17446,1883,1,996,20326,`4f66,armino/os_source/libos_source.a
4900,49,4876,3504,1372,24,25,4925,`133d,armino/display_service/libdisplay_service.a
4633,648,4633,2340,2293,0,648,5281,`14a1,armino/coredump/libcoredump.a
12905,513,12900,8364,4536,5,508,13413,`3465,armino/bk_modem/libbk_modem.a
26784,5977,26776,22356,4420,8,5969,32753,`7ff1,armino/bk_usb/libbk_usb.a
288,0,288,32,256,0,0,288,`120,armino/avdk_utils/libavdk_utils.a
65890,26783,39697,28632,11065,26193,590,66480,`103b0,armino/multimedia/libmultimedia.a
4657,433,4261,3200,1061,396,37,4694,`1256,armino/bk_bluetooth/libbk_bluetooth.a
733,65,733,664,69,0,65,798,`31e,armino/bk_netif/libbk_netif.a
4,0,4,4,0,0,0,4,`4,armino/http/libhttp.a
4,0,4,4,0,0,0,4,`4,armino/bk_common/libbk_common.a
6886,1088,6566,5236,1330,320,768,7654,`1de6,armino/bk_vfs/libbk_vfs.a
2779,32,2779,2242,537,0,32,2811,`afb,armino/media_utils/libmedia_utils.a
23449,75,23380,14770,8610,69,6,23455,`5b9f,armino/bk_peripheral/libbk_peripheral.a
6552,14,6552,5352,1200,0,14,6566,`19a6,armino/bk_dvp/libbk_dvp.a
10610,64,10610,7712,2898,0,64,10674,`29b2,armino/bk_uvc/libbk_uvc.a
291589,174358,291581,85466,206115,8,174350,465939,`71c13,/Users/hiroya/Project/TuyaOpen-Community-Projects/Tuya95/.build/lib/libtuyaapp.a
560790,15092,559890,466382,93508,900,14192,574982,`8c606,/Users/hiroya/Project/TuyaOpen-Community-Projects/Tuya95/.build/lib/libtuyaos.a
104976,18723,104966,91400,13566,10,18713,123689,`1e329,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libbluetooth_host_ble_ap.a
20,4,20,20,0,0,4,24,`18,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaudio_osi.a
32,4,32,32,0,0,4,36,`24,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libvideo_osi.a
1308,4,1308,960,348,0,4,1312,`520,armino/littlefs/liblittlefs.a
19436,167,19436,17930,1506,0,167,19603,`4c93,armino/fatfs/libfatfs.a
15031,4,15031,11806,3225,0,4,15035,`3abb,armino/audio_pipeline/libaudio_pipeline.a
756,0,756,406,350,0,0,756,`2f4,armino/audio_utils/libaudio_utils.a
572,0,572,414,158,0,0,572,`23c,armino/g711_decoder/libg711_decoder.a
568,0,568,410,158,0,0,568,`238,armino/g711_encoder/libg711_encoder.a
518,88,518,380,138,0,88,606,`25e,armino/raw_stream/libraw_stream.a
5160,44,5160,3160,2000,0,44,5204,`1454,armino/uac_mic_stream/libuac_mic_stream.a
5647,44,5647,3544,2103,0,44,5691,`163b,armino/uac_speaker_stream/libuac_speaker_stream.a
18373,0,18373,17372,1001,0,0,18373,`47c5,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libtjpg_sram.a
1000,0,1000,1000,0,0,0,1000,`3e8,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libscale_sram.a
816,17,799,588,211,17,0,816,`330,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/src/misc/mftest/libtal_mftest.a
244,32,212,212,0,32,0,244,`f4,/Users/hiroya/Project/TuyaOpen/platform/T5AI/t5_os/ap/components/bk_libs/bk7258_ap/libs/libg711.a
